id,Gender,Age,Driving_License,Licence_Type,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Seniority,Target
413,Male,47,1,A,28,No,1-2 Year,Yes,49638,26,118,1
414,Male,45,1,M,8,No,> 2 Years,Yes,68992,26,166,1
415,Female,45,1,C,29,No,1-2 Year,Yes,26332,26,295,1
416,Male,46,1,C,28,No,1-2 Year,Yes,22914,26,106,1
417,Female,30,1,M,28,No,1-2 Year,Yes,2630,61,30,1
418,Female,44,1,M,28,No,1-2 Year,Yes,27202,124,77,0
419,Male,45,1,A,41,No,1-2 Year,Yes,26709,106,166,1
420,Male,53,1,M,28,No,1-2 Year,Yes,39753,26,251,0
421,Male,42,1,D,36,No,1-2 Year,Yes,2630,156,222,1
422,Female,30,1,D,49,No,< 1 Year,No,33881,152,225,0
423,Male,44,1,A,39,No,1-2 Year,Yes,23143,124,252,1
424,Male,23,1,D,28,No,1-2 Year,Yes,53841,124,140,0
425,Male,45,1,D,8,No,1-2 Year,Yes,50182,7,22,1
426,Male,69,1,B,8,No,1-2 Year,Yes,43716,26,97,0
427,Female,43,1,A,31,Yes,1-2 Year,No,2630,9,42,0
428,Female,26,1,B,28,No,< 1 Year,Yes,49969,152,160,0
429,Male,41,1,C,28,No,1-2 Year,Yes,2630,124,243,1
430,Male,23,1,M,32,No,< 1 Year,Yes,31026,152,94,0
431,Female,46,1,C,1,No,1-2 Year,Yes,2630,26,212,0
432,Male,46,1,A,28,Yes,1-2 Year,No,35300,26,29,0
433,Male,24,1,B,30,Yes,< 1 Year,No,30024,152,234,0
434,Male,47,1,D,15,No,1-2 Year,Yes,30175,152,242,0
435,Male,27,1,C,8,Yes,< 1 Year,No,32470,152,221,0
436,Female,21,0,,5,Yes,< 1 Year,No,2630,160,95,0
437,Female,47,1,C,28,No,1-2 Year,Yes,46736,26,121,1
438,Male,26,1,C,28,Yes,< 1 Year,No,49305,152,220,0
439,Female,73,1,A,8,No,1-2 Year,Yes,39770,124,123,0
440,Male,72,0,,8,Yes,1-2 Year,No,2630,26,135,0
441,Male,36,1,D,7,No,1-2 Year,No,31204,157,11,1
442,Male,45,1,C,8,No,> 2 Years,Yes,31733,157,106,1
443,Male,27,1,D,27,No,< 1 Year,Yes,23641,152,243,0
444,Male,30,1,C,8,No,1-2 Year,Yes,42685,155,169,1
445,Female,20,1,B,28,Yes,< 1 Year,No,22191,160,280,0
446,Male,23,1,B,37,Yes,< 1 Year,No,36058,151,63,0
447,Male,51,1,B,8,No,1-2 Year,Yes,32034,26,264,0
448,Female,50,1,A,36,Yes,1-2 Year,No,2630,152,31,0
449,Male,44,1,M,8,No,1-2 Year,Yes,33191,26,14,0
450,Female,47,1,A,28,No,1-2 Year,Yes,40626,122,152,0
451,Male,40,1,A,12,Yes,1-2 Year,No,32021,124,131,0
452,Male,29,1,D,8,No,< 1 Year,Yes,27973,124,210,1
453,Male,56,1,D,50,No,1-2 Year,Yes,33584,8,102,0
454,Female,52,1,C,8,No,1-2 Year,Yes,38710,124,38,0
455,Male,51,1,A,48,Yes,1-2 Year,No,2630,26,212,0
456,Female,39,1,C,29,Yes,1-2 Year,No,31011,26,213,0
457,Male,48,1,C,46,No,1-2 Year,Yes,39486,26,161,1
458,Male,22,1,M,3,No,< 1 Year,No,2630,152,40,1
459,Female,35,1,D,15,Yes,1-2 Year,No,29446,151,158,0
460,Female,22,1,A,15,Yes,< 1 Year,No,31884,152,296,0
461,Male,25,1,A,28,No,1-2 Year,Yes,36165,124,278,1
462,Male,46,1,B,47,Yes,1-2 Year,No,37719,124,36,0
463,Male,52,1,B,28,Yes,1-2 Year,Yes,46586,26,185,0
464,Male,55,1,B,28,No,1-2 Year,Yes,32357,122,36,0
465,Male,23,1,B,28,No,< 1 Year,Yes,61098,152,224,0
466,Male,49,1,A,28,No,> 2 Years,Yes,42305,124,211,1
467,Male,41,1,C,46,No,1-2 Year,Yes,2630,124,116,1
468,Male,22,1,M,22,Yes,< 1 Year,No,32496,152,282,0
469,Female,22,1,D,45,No,< 1 Year,Yes,31973,153,64,1
470,Female,52,1,D,28,No,1-2 Year,Yes,30268,124,70,0
471,Male,69,1,C,2,No,1-2 Year,Yes,39397,124,175,0
472,Male,61,1,M,34,Yes,1-2 Year,No,2630,138,40,0
473,Female,23,1,C,50,Yes,< 1 Year,No,29495,152,260,0
474,Female,24,1,A,28,Yes,< 1 Year,No,51594,152,34,0
475,Female,36,1,B,28,No,1-2 Year,Yes,2630,154,241,1
476,Male,25,1,D,50,Yes,< 1 Year,No,28318,152,174,0
477,Male,79,1,C,28,No,> 2 Years,Yes,50504,26,197,0
478,Female,26,1,M,14,Yes,< 1 Year,No,32802,152,29,0
479,Female,73,1,C,28,No,1-2 Year,Yes,49705,122,74,0
480,Female,30,1,A,28,Yes,1-2 Year,No,33255,61,209,0
481,Male,57,1,C,28,No,1-2 Year,Yes,41259,26,231,1
482,Female,75,1,B,28,Yes,1-2 Year,No,37056,26,263,0
483,Female,35,1,C,36,Yes,1-2 Year,No,35150,151,87,0
484,Male,23,1,D,18,No,< 1 Year,Yes,2630,152,63,1
485,Male,21,1,C,50,Yes,< 1 Year,No,36610,152,207,0
486,Female,42,1,A,28,No,1-2 Year,Yes,43777,26,157,1
487,Male,69,1,C,8,No,1-2 Year,Yes,46749,7,217,0
488,Female,38,1,M,28,No,1-2 Year,Yes,53500,124,124,0
489,Male,26,1,A,8,No,< 1 Year,No,35269,152,147,0
490,Male,48,1,C,28,Yes,1-2 Year,No,45262,26,159,0
491,Male,29,1,A,28,Yes,< 1 Year,No,41671,152,172,0
492,Male,25,0,,29,Yes,< 1 Year,No,44089,152,156,0
493,Male,35,1,D,1,No,1-2 Year,Yes,2630,156,265,1
494,Female,28,1,A,29,Yes,1-2 Year,No,25435,157,105,0
495,Female,23,1,C,13,Yes,< 1 Year,No,27194,152,234,0
496,Male,22,1,A,6,No,< 1 Year,Yes,32999,152,294,1
497,Female,31,1,B,17,No,< 1 Year,Yes,39834,26,274,0
498,Female,57,1,B,7,Yes,1-2 Year,No,57377,124,160,0
499,Male,44,1,C,35,No,1-2 Year,Yes,28260,154,246,1
500,Female,23,1,C,8,No,< 1 Year,Yes,27484,152,277,0
501,Female,26,1,D,8,Yes,< 1 Year,No,35145,152,17,0
502,Female,24,1,C,3,Yes,< 1 Year,No,28856,152,114,0
503,Male,32,1,A,11,No,< 1 Year,Yes,28906,124,122,1
504,Male,26,1,D,11,Yes,< 1 Year,No,33962,152,116,0
505,Female,28,1,C,30,Yes,< 1 Year,No,2630,152,166,0
506,Female,47,1,B,4,Yes,1-2 Year,No,2630,26,199,0
507,Female,45,1,A,41,Yes,1-2 Year,No,30992,124,21,0
508,Male,79,1,A,28,No,1-2 Year,Yes,35067,124,89,0
509,Female,27,1,M,11,No,< 1 Year,Yes,29682,152,132,0
510,Male,48,1,B,35,No,1-2 Year,Yes,36590,26,221,0
511,Male,47,1,M,3,No,1-2 Year,Yes,37594,124,128,0
512,Female,54,1,A,28,No,1-2 Year,Yes,23135,124,139,1
513,Male,28,1,B,28,No,1-2 Year,Yes,32731,156,217,1
514,Male,28,1,B,33,Yes,< 1 Year,No,29507,152,12,0
515,Female,33,1,B,28,No,1-2 Year,Yes,46308,157,138,1
516,Male,41,1,M,36,No,1-2 Year,Yes,2630,26,11,1
517,Female,24,1,B,11,Yes,< 1 Year,No,25133,152,280,0
518,Male,60,1,B,30,Yes,1-2 Year,No,27341,26,195,0
519,Female,20,1,C,13,No,< 1 Year,No,27825,160,138,0
520,Male,49,1,D,28,No,1-2 Year,Yes,38657,26,128,1
521,Female,43,1,D,41,Yes,1-2 Year,No,36436,26,251,0
522,Female,21,1,C,15,Yes,< 1 Year,Yes,2630,160,149,0
523,Male,25,1,B,11,Yes,< 1 Year,No,30044,152,295,0
524,Female,23,1,D,13,No,< 1 Year,No,26768,152,209,0
525,Female,24,1,D,11,Yes,< 1 Year,No,2630,160,44,0
526,Female,26,1,A,1,No,< 1 Year,Yes,2630,152,252,0
527,Female,24,1,A,41,Yes,< 1 Year,No,17998,152,280,0
528,Female,61,1,D,28,No,1-2 Year,Yes,37213,26,87,1
529,Female,24,1,M,41,Yes,< 1 Year,No,46707,152,69,0
530,Female,21,1,C,21,No,< 1 Year,Yes,2630,152,180,1
531,Female,39,1,C,29,No,1-2 Year,Yes,37727,124,230,1
532,Male,22,1,A,8,Yes,< 1 Year,No,38921,160,152,0
533,Female,78,1,M,28,Yes,1-2 Year,No,22650,124,100,0
534,Male,46,1,A,7,Yes,1-2 Year,No,29940,124,55,0
535,Male,54,1,M,9,No,1-2 Year,Yes,2630,157,49,0
536,Male,37,1,C,46,Yes,1-2 Year,No,28406,26,288,0
537,Male,21,1,A,2,No,< 1 Year,Yes,36937,152,166,0
538,Female,27,1,B,15,No,< 1 Year,Yes,36999,160,211,0
539,Male,40,1,D,48,Yes,1-2 Year,No,2630,26,16,0
540,Male,60,1,M,4,Yes,1-2 Year,No,65638,26,249,0
541,Male,25,1,A,21,No,< 1 Year,Yes,31564,152,190,0
542,Female,35,1,A,41,No,1-2 Year,Yes,20882,152,225,0
543,Male,22,1,A,28,Yes,< 1 Year,No,49602,152,188,0
544,Male,36,1,C,39,No,1-2 Year,Yes,39156,13,168,0
545,Male,33,1,A,28,No,< 1 Year,Yes,37058,124,67,1
546,Male,52,1,M,13,No,> 2 Years,Yes,34285,124,64,0
547,Male,46,1,A,28,No,1-2 Year,Yes,2630,55,264,1
548,Female,77,1,A,28,No,1-2 Year,No,62418,61,160,0
549,Female,22,1,A,46,Yes,< 1 Year,No,22610,152,225,0
550,Female,23,1,C,30,Yes,< 1 Year,No,30071,152,160,0
551,Female,28,1,M,8,Yes,< 1 Year,No,28191,152,68,0
